dagSize,rate,nTipSelected,caseIdx
500,20,4,0
500,20,4,1
500,20,4,2
500,20,4,3
500,20,4,4
500,20,4,5
500,20,4,6
500,20,4,7
500,20,4,8
500,20,4,9
500,20,4,10
500,20,4,11
500,20,4,12
500,20,4,13
500,20,4,14
500,20,4,15
500,20,4,16
500,20,4,17
500,20,4,18
500,20,4,19
500,20,4,20
500,20,4,21
500,20,4,22
500,20,4,23
500,20,4,24
500,20,4,25
500,20,4,26
500,20,4,27
500,20,4,28
500,20,4,29
500,20,4,30
500,20,4,31
500,20,4,32
500,20,4,33
500,20,4,34
500,20,4,35
500,20,4,36
500,20,4,37
500,20,4,38
500,20,4,39
500,20,4,40
500,20,4,41
500,20,4,42
500,20,4,43
500,20,4,44
500,20,4,45
500,20,4,46
500,20,4,47
500,20,4,48
500,20,4,49
500,20,4,50
500,20,4,51
500,20,4,52
500,20,4,53
500,20,4,54
500,20,4,55
500,20,4,56
500,20,4,57
500,20,4,58
500,20,4,59
500,20,4,60
500,20,4,61
500,20,4,62
500,20,4,63
500,20,4,64
500,20,4,65
500,20,4,66
500,20,4,67
500,20,4,68
500,20,4,69
500,20,4,70
500,20,4,71
500,20,4,72
500,20,4,73
500,20,4,74
500,20,4,75
500,20,4,76
500,20,4,77
500,20,4,78
500,20,4,79
500,20,4,80
500,20,4,81
500,20,4,82
500,20,4,83
500,20,4,84
500,20,4,85
500,20,4,86
500,20,4,87
500,20,4,88
500,20,4,89
500,20,4,90
500,20,4,91
500,20,4,92
500,20,4,93
500,20,4,94
500,20,4,95
500,20,4,96
500,20,4,97
500,20,4,98
500,20,4,99
500,40,4,0
500,40,4,1
500,40,4,2
500,40,4,3
500,40,4,4
500,40,4,5
500,40,4,6
500,40,4,7
500,40,4,8
500,40,4,9
500,40,4,10
500,40,4,11
500,40,4,12
500,40,4,13
500,40,4,14
500,40,4,15
500,40,4,16
500,40,4,17
500,40,4,18
500,40,4,19
500,40,4,20
500,40,4,21
500,40,4,22
500,40,4,23
500,40,4,24
500,40,4,25
500,40,4,26
500,40,4,27
500,40,4,28
500,40,4,29
500,40,4,30
500,40,4,31
500,40,4,32
500,40,4,33
500,40,4,34
500,40,4,35
500,40,4,36
500,40,4,37
500,40,4,38
500,40,4,39
500,40,4,40
500,40,4,41
500,40,4,42
500,40,4,43
500,40,4,44
500,40,4,45
500,40,4,46
500,40,4,47
500,40,4,48
500,40,4,49
500,40,4,50
500,40,4,51
500,40,4,52
500,40,4,53
500,40,4,54
500,40,4,55
500,40,4,56
500,40,4,57
500,40,4,58
500,40,4,59
500,40,4,60
500,40,4,61
500,40,4,62
500,40,4,63
500,40,4,64
500,40,4,65
500,40,4,66
500,40,4,67
500,40,4,68
500,40,4,69
500,40,4,70
500,40,4,71
500,40,4,72
500,40,4,73
500,40,4,74
500,40,4,75
500,40,4,76
500,40,4,77
500,40,4,78
500,40,4,79
500,40,4,80
500,40,4,81
500,40,4,82
500,40,4,83
500,40,4,84
500,40,4,85
500,40,4,86
500,40,4,87
500,40,4,88
500,40,4,89
500,40,4,90
500,40,4,91
500,40,4,92
500,40,4,93
500,40,4,94
500,40,4,95
500,40,4,96
500,40,4,97
500,40,4,98
500,40,4,99
550,20,4,0
550,20,4,1
550,20,4,2
550,20,4,3
550,20,4,4
550,20,4,5
550,20,4,6
550,20,4,7
550,20,4,8
550,20,4,9
550,20,4,10
550,20,4,11
550,20,4,12
550,20,4,13
550,20,4,14
550,20,4,15
550,20,4,16
550,20,4,17
550,20,4,18
550,20,4,19
550,20,4,20
550,20,4,21
550,20,4,22
550,20,4,23
550,20,4,24
550,20,4,25
550,20,4,26
550,20,4,27
550,20,4,28
550,20,4,29
550,20,4,30
550,20,4,31
550,20,4,32
550,20,4,33
550,20,4,34
550,20,4,35
550,20,4,36
550,20,4,37
550,20,4,38
550,20,4,39
550,20,4,40
550,20,4,41
550,20,4,42
550,20,4,43
550,20,4,44
550,20,4,45
550,20,4,46
550,20,4,47
550,20,4,48
550,20,4,49
550,20,4,50
550,20,4,51
550,20,4,52
550,20,4,53
550,20,4,54
550,20,4,55
550,20,4,56
550,20,4,57
550,20,4,58
550,20,4,59
550,20,4,60
550,20,4,61
550,20,4,62
550,20,4,63
550,20,4,64
550,20,4,65
550,20,4,66
550,20,4,67
550,20,4,68
550,20,4,69
550,20,4,70
550,20,4,71
550,20,4,72
550,20,4,73
550,20,4,74
550,20,4,75
550,20,4,76
550,20,4,77
550,20,4,78
550,20,4,79
550,20,4,80
550,20,4,81
550,20,4,82
550,20,4,83
550,20,4,84
550,20,4,85
550,20,4,86
550,20,4,87
550,20,4,88
550,20,4,89
550,20,4,90
550,20,4,91
550,20,4,92
550,20,4,93
550,20,4,94
550,20,4,95
550,20,4,96
550,20,4,97
550,20,4,98
550,20,4,99
550,40,4,0
550,40,4,1
550,40,4,2
550,40,4,3
550,40,4,4
550,40,4,5
550,40,4,6
550,40,4,7
550,40,4,8
550,40,4,9
550,40,4,10
550,40,4,11
550,40,4,12
550,40,4,13
550,40,4,14
550,40,4,15
550,40,4,16
550,40,4,17
550,40,4,18
550,40,4,19
550,40,4,20
550,40,4,21
550,40,4,22
550,40,4,23
550,40,4,24
550,40,4,25
550,40,4,26
550,40,4,27
550,40,4,28
550,40,4,29
550,40,4,30
550,40,4,31
550,40,4,32
550,40,4,33
550,40,4,34
550,40,4,35
550,40,4,36
550,40,4,37
550,40,4,38
550,40,4,39
550,40,4,40
550,40,4,41
550,40,4,42
550,40,4,43
550,40,4,44
550,40,4,45
550,40,4,46
550,40,4,47
550,40,4,48
550,40,4,49
550,40,4,50
550,40,4,51
550,40,4,52
550,40,4,53
550,40,4,54
550,40,4,55
550,40,4,56
550,40,4,57
550,40,4,58
550,40,4,59
550,40,4,60
550,40,4,61
550,40,4,62
550,40,4,63
550,40,4,64
550,40,4,65
550,40,4,66
550,40,4,67
550,40,4,68
550,40,4,69
550,40,4,70
550,40,4,71
550,40,4,72
550,40,4,73
550,40,4,74
550,40,4,75
550,40,4,76
550,40,4,77
550,40,4,78
550,40,4,79
550,40,4,80
550,40,4,81
550,40,4,82
550,40,4,83
550,40,4,84
550,40,4,85
550,40,4,86
550,40,4,87
550,40,4,88
550,40,4,89
550,40,4,90
550,40,4,91
550,40,4,92
550,40,4,93
550,40,4,94
550,40,4,95
550,40,4,96
550,40,4,97
550,40,4,98
550,40,4,99
600,20,4,0
600,20,4,1
600,20,4,2
600,20,4,3
600,20,4,4
600,20,4,5
600,20,4,6
600,20,4,7
600,20,4,8
600,20,4,9
600,20,4,10
600,20,4,11
600,20,4,12
600,20,4,13
600,20,4,14
600,20,4,15
600,20,4,16
600,20,4,17
600,20,4,18
600,20,4,19
600,20,4,20
600,20,4,21
600,20,4,22
600,20,4,23
600,20,4,24
600,20,4,25
600,20,4,26
600,20,4,27
600,20,4,28
600,20,4,29
600,20,4,30
600,20,4,31
600,20,4,32
600,20,4,33
600,20,4,34
600,20,4,35
600,20,4,36
600,20,4,37
600,20,4,38
600,20,4,39
600,20,4,40
600,20,4,41
600,20,4,42
600,20,4,43
600,20,4,44
600,20,4,45
600,20,4,46
600,20,4,47
600,20,4,48
600,20,4,49
600,20,4,50
600,20,4,51
600,20,4,52
600,20,4,53
600,20,4,54
600,20,4,55
600,20,4,56
600,20,4,57
600,20,4,58
600,20,4,59
600,20,4,60
600,20,4,61
600,20,4,62
600,20,4,63
600,20,4,64
600,20,4,65
600,20,4,66
600,20,4,67
600,20,4,68
600,20,4,69
600,20,4,70
600,20,4,71
600,20,4,72
600,20,4,73
600,20,4,74
600,20,4,75
600,20,4,76
600,20,4,77
600,20,4,78
600,20,4,79
600,20,4,80
600,20,4,81
600,20,4,82
600,20,4,83
600,20,4,84
600,20,4,85
600,20,4,86
600,20,4,87
600,20,4,88
600,20,4,89
600,20,4,90
600,20,4,91
600,20,4,92
600,20,4,93
600,20,4,94
600,20,4,95
600,20,4,96
600,20,4,97
600,20,4,98
600,20,4,99
600,40,4,0
600,40,4,1
600,40,4,2
600,40,4,3
600,40,4,4
600,40,4,5
600,40,4,6
600,40,4,7
600,40,4,8
600,40,4,9
600,40,4,10
600,40,4,11
600,40,4,12
600,40,4,13
600,40,4,14
600,40,4,15
600,40,4,16
600,40,4,17
600,40,4,18
600,40,4,19
600,40,4,20
600,40,4,21
600,40,4,22
600,40,4,23
600,40,4,24
600,40,4,25
600,40,4,26
600,40,4,27
600,40,4,28
600,40,4,29
600,40,4,30
600,40,4,31
600,40,4,32
600,40,4,33
600,40,4,34
600,40,4,35
600,40,4,36
600,40,4,37
600,40,4,38
600,40,4,39
600,40,4,40
600,40,4,41
600,40,4,42
600,40,4,43
600,40,4,44
600,40,4,45
600,40,4,46
600,40,4,47
600,40,4,48
600,40,4,49
600,40,4,50
600,40,4,51
600,40,4,52
600,40,4,53
600,40,4,54
600,40,4,55
600,40,4,56
600,40,4,57
600,40,4,58
600,40,4,59
600,40,4,60
600,40,4,61
600,40,4,62
600,40,4,63
600,40,4,64
600,40,4,65
600,40,4,66
600,40,4,67
600,40,4,68
600,40,4,69
600,40,4,70
600,40,4,71
600,40,4,72
600,40,4,73
600,40,4,74
600,40,4,75
